domain,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ai_risk_factors,ai_reasoning,correct
rexx-recruitment.com,0.1852658,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain rexx-recruitment.com has a contextual risk score of 0.13, which is below the 0.5 threshold. The ML probability is 0.185, categorized as 'very_low'. The known domain check shows it's not in the whitelist (legit_info: is_legitimate=False). However, the absence of high-risk indicators and th",True
alswlj.com,0.08059545,1,0,0.85,medium,"['free_ca', 'no_org', 'free_ca_no_org', 'short', 'random_pattern']","The domain alswlj.com has a low ML probability (0.08) and is flagged by contextual_risk_assessment as having multiple issues including free CA, no organization, short domain, and random patterns. While the ML probability is very low, the contextual risk score of 0.44 indicates medium risk. The domai",False
taisei-food.com,0.2112879,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain taisei-food.com has a low ML probability (0.21) and a contextual risk score of 0.14, indicating minimal risk. The tool detected three issues: free CA, no organization, and free CA without organization. However, the domain is known (external) but not legitimate (label: True). The contextua",False
usps-pyc.com,0.12632927,1,0,0.85,medium,"['ml_paradox', 'dv_suspicious_combo', 'free_ca', 'no_org', 'free_ca_no_org', 'random_pattern']","The domain usps-pyc.com has a contextual risk score of 0.43, indicating medium risk. The ML probability is 0.13 (very low), but the presence of ML paradox and dv_suspicious_combo suggests inconsistency. The known domain check shows it's not legitimate (label: True, trust_level: 'none'). The risk fac",False
hmm-itb.com,0.07534764,0,0,0.43,medium,"['ml_paradox', 'dv_suspicious_combo', 'free_ca', 'no_org', 'free_ca_no_org', 'random_pattern']","The domain hmm-itb.com has a contextual risk score of 0.43, indicating medium risk. The ML probability is 0.075 (very low), but the presence of a ML paradox (where ML indicates low risk but other tools indicate higher risk) and a DV suspicious combo (domain and verification mismatch) are critical fa",True
fm96.com,0.13692077,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org', 'short']","The domain fm96.com has a contextual risk score of 0.12, which is below the 0.5 threshold. The ML probability is 0.14 (very_low), and the known domain check shows it's not legitimate (label: True, trust_level: 'none'). The risk factors include free CA, no organization, free CA without organization, ",True
citrus-landscape-solutions.com,0.0975973,0,0,0.95,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain citrus-landscape-solutions.com has a low risk profile based on contextual analysis. The contextual risk assessment tool shows a risk score of 0.0906, which is below the 0.5 threshold. The ML probability is 0.0976 (very_low category), and the tool's average risk score is 0.13. The domain i",True
pooljax.com,0.29211643,1,0,0.85,low,"['low_ml_safety_cap_applied: False', 'low_ml_safety_cap_before: None', 'low_ml_safety_cap_after: None', 'ml_category: low', 'ml_probability: 0.292116', 'tool_average_risk: 0.13', 'total_issues_count: ","The contextual_risk_assessment tool indicates a risk_score of 0.1781, which is below the 0.5 threshold. The ML probability is 0.29 (low category), and the tool average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). There are three detected issues: free_ca, n",False
youaishidai.com,0.08020451,1,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain youaishidai.com has a low risk score of 0.0828 from contextual_risk_assessment. The ML probability is 0.0802 (very_low), and the tool average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues are free_ca, no_org, and free_ca_no_or",False
abonnement-uiys.com,0.25664106,1,0,0.85,low,"['low_ml_safety_cap_applied: False', 'low_ml_safety_cap_before: None', 'low_ml_safety_cap_after: None', 'ml_category: low', 'ml_probability: 0.256641', 'tool_average_risk: 0.13', 'total_issues_count: ","The contextual_risk_assessment tool indicates a risk_score of 0.1622, which is below the 0.5 threshold. The ML probability is 0.2566 (low category), and the tool average risk is 0.13. The domain is known to be seen but not legitimate (label: True). There are three detected issues: free_ca, no_org, a",False
veggieperrins.com,0.13469747,1,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain veggieperrins.com has been flagged by contextual_risk_assessment with a risk_score of 0.107, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organization), and free_ca_no_org (free certificate with no organization). However, the domain is known ",False
gp-radar.com,0.16221008,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain gp-radar.com has been flagged by contextual_risk_assessment with a risk_score of 0.1197, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate with no organization). However, the domain",True
mm1069.com,0.19960609,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org', 'short']","The domain mm1069.com has a contextual risk score of 0.148, which is below the 0.5 threshold. The ML probability is 0.20 (very_low), and the known domain check shows it's not legitimate (label: True, trust_level: 'none'). The risk factors include free CA, no organization, free CA with no organizatio",True
zenritsusen-care.com,0.12913863,1,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain zenritsusen-care.com has been flagged by contextual_risk_assessment with a risk_score of 0.1048, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate with no organization). However, th",False
stylus-lang.com,0.21723974,0,0,0.42,medium,"['free_ca', 'no_org', 'free_ca_no_org', 'random_pattern']","The domain stylus-lang.com has a contextual risk score of 0.42, indicating medium risk. The tool detected four issues: free CA certificate, no organizational information, free CA with no organization, and random pattern. The known domain check shows it's not in the whitelist (trust level: none). Whi",True
1xbetegiris2.com,0.07573301,0,0,0.95,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain 1xbetegiris2.com has a low contextual risk score of 0.0807, indicating minimal risk. The ML probability is 0.0757 (very_low), and the tool average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues include 'free_ca', 'no_org', and ",True
tippinsights.com,0.17693892,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain tippinsights.com has a low risk score of 0.126 from contextual_risk_assessment. The ML probability is 0.177 (very_low category), and the known domain check shows it's not in the whitelist (legit_info: is_legitimate=False). However, the risk score is below 0.5, so it's not classified as ph",True
cropsmall.com,0.11553755,1,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The contextual_risk_assessment tool indicates a risk_score of 0.0987, which is below the 0.5 threshold. The ml_probability is 0.1155 (very_low category), and the tool's average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues include 'free_",False
pavillon-arsenal.com,0.096519575,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain pavillon-arsenal.com has a contextual risk score of 0.0901, which is below the 0.5 threshold. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate with no organization). However, the domain is known in ext",True
yunwaisong.com,0.112264976,1,0,0.95,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain yunwaisong.com has been flagged by contextual_risk_assessment with a risk_score of 0.097, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate without organizational data). However, th",False
dwin-global.com,0.09934507,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain dwin-global.com has a low risk score of 0.0914 from contextual_risk_assessment, indicating minimal phishing likelihood. The ML probability is 0.0993 (very_low), and the tool average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issue",True
dglxsj.com,0.29661986,1,0,0.42,medium,"['free_ca', 'no_org', 'free_ca_no_org', 'short', 'random_pattern']","The domain dglxsj.com has a contextual risk score of 0.42, indicating medium risk. It is detected as a known domain but not legitimate (label: True). The tool identified multiple issues: free CA certificate, no organizational information, free CA with no organization, short domain length, and random",False
japanpast.com,0.27545398,1,0,0.85,low,"['low_ml_safety_cap_applied: False', 'low_ml_safety_cap_before: None', 'low_ml_safety_cap_after: None', 'ml_category: low', 'ml_probability: 0.275454', 'tool_average_risk: 0.13', 'total_issues_count: ","The contextual_risk_assessment tool indicates a risk_score of 0.1706, which is below the 0.5 threshold. The ML probability is 0.275 (low category), and the tool average risk is 0.13. The domain is known to be seen but not legitimate (label: True). There are three detected issues: free_ca, no_org, an",False
satsumatsu.com,0.12761049,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain satsumatsu.com has been flagged by contextual_risk_assessment with a risk_score of 0.104, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate without organizational data). However, th",False
cambridgeincolour.com,0.1006648,0,0,0.95,low,"['no_org', 'not_in_whitelist']","The domain cambridgeincolour.com is known to be in the whitelist (is_known_seen=True) but not legitimate (is_known_legit=False). The contextual risk assessment shows a risk score of 0.0523, which is below the 0.5 threshold. The tool detected 'no_org' as an issue, indicating no organizational context",True
rockatee.com,0.07196814,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The contextual_risk_assessment tool indicates a risk_score of 0.079, which is below the 0.5 threshold. The ml_probability is 0.072 (very_low), and the tool's average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues include 'free_ca', 'no_or",True
hu166.com,0.2740272,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org', 'short']","The contextual_risk_assessment tool indicates a risk_score of 0.18, which is below the 0.5 threshold. The domain hu166.com is known but not legitimate (label: True, trust_level: 'none'). The detected issues include free CA, no organization, free CA without organization, and short domain. While the M",False
bon-mar.com,0.123715185,0,0,0.92,low,"['no_org', 'not_in_whitelist']","The contextual_risk_assessment tool indicates a risk_score of 0.0627 with no detected issues beyond 'no_org' and 'not_in_whitelist'. The baseline_risk and ml_probability are both 0.1237, which is classified as 'very_low' by the ML model. The known_domain check shows it's not in the whitelist (label:",True
yesseafood.com,0.06934953,1,0,0.95,low,"['low_ml_safety_cap_applied: False', 'low_ml_safety_cap_before: None', 'low_ml_safety_cap_after: None', 'ml_category: very_low', 'ml_probability: 0.06934953', 'tool_average_risk: 0.13', 'total_issues_","The domain yesseafood.com has a low ML probability (0.0693) and a contextual risk score of 0.0779, both indicating very low risk. The known domain check shows it's seen but not legitimate (label: True). The tool results indicate 3 issues: free_ca, no_org, and free_ca_no_org, but these are low-risk i",False
au-safety.com,0.20785317,1,0,0.85,low,"['low_ml_safety_cap_applied', 'low_ml_safety_cap_before', 'low_ml_safety_cap_after', 'ml_category_low', 'ml_probability_0.21', 'tool_average_risk_0.13', 'known_domain_not_legit', 'consistency_boost_0.","The contextual_risk_assessment tool indicates a risk_score of 0.14, which is below the threshold of 0.5. The ml_probability is 0.21 (low category), and the tool's average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). There are 3 detected issues: 'free_ca', ",False
mrelay-servicefr.com,0.10890802,1,0,0.95,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain mrelay-servicefr.com has been flagged by contextual_risk_assessment with a risk_score of 0.0957, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organization information), and free_ca_no_org (free certificate with no organization). However, the ",False
fanar-ref.com,0.10340199,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain fanar-ref.com has been identified as not legitimate by known domain checks (label: True, trust_level: 'none', reason: 'not_in_whitelist'). The contextual risk assessment shows a risk score of 0.0932, which is below the 0.5 threshold. The tool results indicate three detected issues: free_c",True
relay-retrait.com,0.1014645,1,0,0.11,low,"['free_ca', 'no_org', 'many_san', 'free_ca_no_org', 'dv_weak_identity']","The domain relay-retrait.com has a low risk score of 0.1098 from contextual_risk_assessment. The ML probability is 0.1015 (very_low), and the tool average risk is 0.18. The domain is known but not legitimate (label: True, trust_level: 'none'). Detected issues include free CA, no organization, many S",False
whitepletinckx.com,0.26234692,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain whitepletinckx.com has been flagged by contextual_risk_assessment with a risk_score of 0.1647, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organizational information), and free_ca_no_org (free certificate without organizational data). Howeve",False
uponor.com,0.11223118,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org', 'short']","The domain 'uponor.com' has a contextual risk score of 0.1088, which is below the 0.5 threshold. The ML probability is 0.1122 (very_low), and the known domain check shows it's not in the whitelist (label: True). The risk factors include 'free_ca', 'no_org', 'free_ca_no_org', and 'short', which are c",True
onlinesourceidmeauthentication.com,0.14577635,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain onlinesourceidmeauthentication.com has a low risk score of 0.1123 from contextual risk assessment. The ML probability is 0.1458 (very_low category), and the known domain check shows it's not legitimate (label: True, trust_level: 'none'). The risk factors include free CA, no organization, ",False
datca-haber.com,0.22004984,0,0,0.1457,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain datca-haber.com has a low ML probability (0.22) and a contextual risk score of 0.1457. It is known in external databases but marked as not legitimate (trust_level: none). The detected issues include free CA certificates, no organizational information, and a combination of free CA and no o",True
bestac.com,0.12586959,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org', 'short']","The domain bestac.com has a contextual risk score of 0.115 (low risk) with no detected issues beyond standard risk factors. The known domain check confirms it's not in the whitelist (legit_info: is_legitimate=False). The risk factors (free_ca, no_org, free_ca_no_org, short) are common in low-risk do",True
